entity_id,state,last_changed
sensor.nordpool_kwh_se3_sek_3_10_0_2,14.474,2026-07-04T09:45:00.471Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,12.222,2026-07-04T10:00:00.399Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,12.233,2026-07-04T10:15:00.415Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,12.222,2026-07-04T10:30:00.408Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,11.107,2026-07-04T10:45:00.395Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,11.272,2026-07-04T11:00:00.403Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,11.051,2026-07-04T11:15:00.394Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,11.04,2026-07-04T11:30:00.439Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,11.051,2026-07-04T11:45:00.416Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,10.963,2026-07-04T12:00:00.457Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,12.984,2026-07-04T12:15:00.418Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,15.479,2026-07-04T12:30:00.415Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,14.121,2026-07-04T12:45:00.432Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,11.051,2026-07-04T13:00:00.470Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,11.118,2026-07-04T13:15:00.463Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,14.463,2026-07-04T13:45:00.422Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,11.085,2026-07-04T14:00:00.433Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,14.43,2026-07-04T14:15:00.443Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,20.657,2026-07-04T14:30:00.423Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,25.536,2026-07-04T14:45:00.436Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,12.995,2026-07-04T15:00:00.464Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,19.707,2026-07-04T15:15:00.431Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,25.636,2026-07-04T15:30:00.426Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,37.272,2026-07-04T15:45:00.417Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,20.811,2026-07-04T16:00:00.518Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,34.413,2026-07-04T16:15:00.441Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,39.282,2026-07-04T16:30:00.416Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,51.029,2026-07-04T16:45:00.416Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,36.93,2026-07-04T17:00:00.418Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,70.769,2026-07-04T17:15:00.433Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,69.555,2026-07-04T17:30:00.417Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,80.473,2026-07-04T17:45:00.423Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,82.648,2026-07-04T18:00:00.416Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,83.841,2026-07-04T18:15:00.418Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,84.415,2026-07-04T18:30:00.416Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,84.095,2026-07-04T18:45:00.449Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,88.389,2026-07-04T19:00:00.494Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,86.281,2026-07-04T19:15:00.426Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,85.795,2026-07-04T19:30:00.422Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,84.547,2026-07-04T19:45:00.455Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,87.009,2026-07-04T20:00:00.417Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,85.431,2026-07-04T20:15:00.418Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,84.194,2026-07-04T20:30:00.423Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,82.339,2026-07-04T20:45:00.437Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,84.006,2026-07-04T21:00:00.415Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,82.483,2026-07-04T21:15:00.429Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,80.893,2026-07-04T21:30:00.420Z
sensor.nordpool_kwh_se3_sek_3_10_0_2,79.204,2026-07-04T21:45:00.418Z
sensor.elmatare_active_power_l1,0.167,2026-07-02T22:00:00.000Z
sensor.elmatare_active_power_l1,0.177,2026-07-02T22:00:02.813Z
sensor.elmatare_active_power_l1,0.183,2026-07-02T22:00:12.079Z
sensor.elmatare_active_power_l1,0.189,2026-07-02T22:00:22.096Z
sensor.elmatare_active_power_l1,0.180,2026-07-02T22:00:31.987Z
sensor.elmatare_active_power_l1,0.174,2026-07-02T22:00:42.008Z
sensor.elmatare_active_power_l1,0.172,2026-07-02T22:00:51.988Z
sensor.elmatare_active_power_l1,0.176,2026-07-02T22:01:01.975Z
sensor.elmatare_active_power_l1,0.154,2026-07-02T22:01:12.083Z
sensor.elmatare_active_power_l1,0.161,2026-07-02T22:01:31.975Z
sensor.elmatare_active_power_l1,0.165,2026-07-02T22:01:41.953Z
sensor.elmatare_active_power_l1,0.161,2026-07-02T22:01:51.982Z
sensor.elmatare_active_power_l1,0.162,2026-07-02T22:02:02.073Z
sensor.elmatare_active_power_l1,0.167,2026-07-02T22:02:12.008Z
sensor.elmatare_active_power_l1,0.170,2026-07-02T22:02:21.960Z
sensor.elmatare_active_power_l1,0.161,2026-07-02T22:02:31.958Z
sensor.elmatare_active_power_l1,0.174,2026-07-02T22:02:41.955Z
sensor.elmatare_active_power_l1,0.166,2026-07-02T22:02:52.100Z
sensor.elmatare_active_power_l1,0.163,2026-07-02T22:03:02.072Z
sensor.elmatare_active_power_l1,0.167,2026-07-02T22:03:11.954Z
sensor.elmatare_active_power_l1,0.166,2026-07-02T22:03:21.971Z
sensor.elmatare_active_power_l1,0.159,2026-07-02T22:03:31.991Z
sensor.elmatare_active_power_l1,0.154,2026-07-02T22:03:41.959Z
sensor.elmatare_active_power_l1,0.167,2026-07-02T22:03:51.967Z
sensor.elmatare_active_power_l1,0.159,2026-07-02T22:04:01.954Z
sensor.elmatare_active_power_l1,0.167,2026-07-02T22:04:12.082Z
sensor.elmatare_active_power_l1,0.164,2026-07-02T22:04:21.964Z
sensor.elmatare_active_power_l1,0.163,2026-07-02T22:04:31.989Z
sensor.elmatare_active_power_l1,0.162,2026-07-02T22:04:41.968Z
sensor.elmatare_active_power_l1,0.165,2026-07-02T22:04:51.981Z
sensor.elmatare_active_power_l1,0.170,2026-07-02T22:05:02.086Z
sensor.elmatare_active_power_l1,0.167,2026-07-02T22:05:13.688Z
sensor.elmatare_active_power_l1,0.173,2026-07-02T22:05:22.001Z
sensor.elmatare_active_power_l1,0.175,2026-07-02T22:05:32.025Z
sensor.elmatare_active_power_l1,0.157,2026-07-02T22:05:41.979Z
sensor.elmatare_active_power_l1,0.166,2026-07-02T22:05:51.984Z
sensor.elmatare_active_power_l1,0.168,2026-07-02T22:06:01.960Z
sensor.elmatare_active_power_l1,0.179,2026-07-02T22:06:11.959Z
sensor.elmatare_active_power_l1,0.176,2026-07-02T22:06:22.083Z
sensor.elmatare_active_power_l1,0.177,2026-07-02T22:06:31.968Z
sensor.elmatare_active_power_l1,0.173,2026-07-02T22:06:41.950Z
sensor.elmatare_active_power_l1,0.170,2026-07-02T22:06:52.004Z
